"Timestamp","I have read the above and agree to take part in this study","I have read and understood the Participant Information Sheet.","Age","What is the highest level of education you have completed (or are currently completing)","Were you aware of what a password manager was prior to this survey?","How often do you use a password manager?","How safe do you feel when using a password manager?","Do you use a password manager to secure your most important accounts? (banking, confidential information..)","Does having all of your passwords in one place cause you to have safety concerns?","Have you previously considered that a password manager could aid a criminal if your device were stolen?","Do you think this is a major security concern?","If my project were to be fully integrated with your primary password manager would you use this feature?","Do you have any other concerns with password managers?","Did the extension interrupt or distract from your normal workflow in any unexpected ways? ","When the extension interviened, did you find it clear as to why?","Did you find the UI clear and easy to navigate?","Did the extension make you feel more secure while using your password manager?  ","Did any error messages or alerts feel confusing or unhelpful?  ","What would make this extension more useful to you?  ","On a scale of 1–10, how useful do you think this extension is?  ","Any final thoughts or feedback on the Chrome Extension?  "
"2025/04/07 12:27:33 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","5","4","No","Yes","No","Yes","Yes","","No","Yes","Yes","Yes","No","","9",""
"2025/04/07 12:31:23 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","4","4","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Allow me to use it on other devices such as a smartphone ","7","No"
"2025/04/07 12:31:34 pm CET","Yes","Yes","18-24","Masters Degree","Yes","3","3","No","Yes","Yes","Yes","Yes","Sometimes works, sometimes not ","","","","","","","",""
"2025/04/07 12:34:59 pm CET","Yes","Yes","25-34","Undergraduate Degree","Yes","4","4","No","Yes","Yes","No","No","","","","","","","","",""
"2025/04/07 12:35:36 pm CET","Yes","Yes","18-24","Masters Degree","Yes","5","3","No","No","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 12:36:48 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","3","4","No","Yes","Yes","Yes","Yes","Data storage locations should be more clearly advertised, most people would be unhappy with their data being stored and processed in places like Russia, China, Korea and more recently perhaps even the US. Being able to see and also control where this data is stored would be helpful.","","","","","","","",""
"2025/04/07 12:42:20 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","5","4","Yes","Yes","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 12:48:46 pm CET","Yes","Yes","18-24","Undergraduate Degree","No","4","3","Yes","Yes","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 12:49:34 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","5","4","Yes","Maybe","No","Yes","Yes","","","","","","","","",""
"2025/04/07 12:59:49 pm CET","Yes","Yes","18-24","A-Levels","Yes","4","5","No","Maybe","Yes","No","Yes","","","","","","","","",""
"2025/04/07 1:00:05 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","3","4","Yes","No","Yes","No","Yes","","","","","","","","",""
"2025/04/07 1:01:38 pm CET","Yes","Yes","18-24","Masters Degree","Yes","5","4","Yes","Maybe","Yes","Yes","No","Data breaches, encryption type","","","","","","","",""
"2025/04/07 1:02:09 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","3","4","Yes","No","Yes","No","No","","","","","","","","",""
"2025/04/07 1:06:41 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","4","5","Yes","Maybe","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 1:08:19 pm CET","Yes","Yes","25-34","A-Levels","Yes","4","4","No","Maybe","Yes","Yes","Yes","Unreliable when changing passwords","","","","","","","",""
"2025/04/07 1:09:07 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","5","4","Yes","Maybe","Yes","I would say it depends on what options are available to the user. I know on my laptop and phone, I have mine set to lock after an amount of time and then use my biometrics (face or finger print) but on my desktop, I can’t be bothered to always type my password in so I let it be less secure and only lock on restarts. ","Yes","Less of a concern and more of something I look for in one; being open source and having the ability to self host if I want. Bitwarden is the one I choose for these reasons ","","","","","","","",""
"2025/04/07 1:09:15 pm CET","Yes","Yes","18-24","A-Levels","Yes","4","5","Yes","No","Yes","No","Yes","","","","","","","","",""
"2025/04/07 1:28:56 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","3","1","No","Maybe","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 1:33:00 pm CET","Yes","Yes","18-24","A-Levels","Yes","5","4","Yes","No","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 2:02:19 pm CET","Yes","Yes","25-34","Undergraduate Degree","Yes","5","3","Yes","Yes","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 2:19:07 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","4","4","No","No","No","No","Yes","","No","Yes","Yes","Yes","No","","7",""
"2025/04/07 2:52:23 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","1","3","No","Yes","No","Yes","Yes","","","","","","","","",""
"2025/04/07 3:15:50 pm CET","Yes","Yes","18-24","Masters Degree","Yes","4","3","No","Maybe","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 3:18:44 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","4","4","No","Maybe","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 3:21:32 pm CET","Yes","Yes","18-24","GCSE's","Yes","5","3","Yes","Maybe","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 4:44:11 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","4","2","No","Maybe","Yes","Yes","Yes","","","","","","","","",""
"2025/04/07 5:04:28 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","2","3","No","Maybe","Yes","No","Yes","","","","","","","","",""
"2025/04/07 5:50:20 pm CET","Yes","Yes","18-24","Undergraduate Degree","Yes","4","4","No","Maybe","Yes","No","Yes","","","","","","","","",""
"2025/04/07 6:50:39 pm CET","Yes","Yes","18-24","Undergraduate Degree","No","4","3","No","Maybe","Yes","No","Yes","","","","","","","","",""
"2025/04/07 7:34:05 pm CET","Yes","Yes","18-24","A-Levels","Yes","4","3","No","Maybe","Yes","Yes","Yes","","No","Yes","Yes","Yes","No","","8",""
"2025/04/07 7:52:44 pm CET","Yes","Yes","18-24","A-Levels","Yes","4","5","Yes","Maybe","Yes","Yes","Yes","That a password manager would be linked/synced to another device used by someone else by mistake","","","","","","","",""
